PRICE_LIST	LIST_PRICE	DISCOUNT_TYPE	DISCOUNT_RATE	COMMISSION_POINTS	COMMISSION_VOLUME	PRODUCT_NUMBER	PRODUCT_CLASS	CATEGORY_NAME	PRODUCT_DESCRIPTION	IMAGE_FILENAME_LARGE	PRODUCT_LONG_DESCRIPTION	EOL:EOL
Consultant	39	P	20%	39	39	1335822	Promotional Products	Specials	Firefighter Basket 	1335822.jpg	This special basket has been created in honor of all firefighters, our everyday heroes that serve with courage, integrity and pride. $1 from each basket sold will go to the Fallen Firefighter Foundation to benefit their families. This beautiful basket is available Bold Red with Whitewashed and Pewter Accents. Protector available separately. Made in America. 7 1/2"l x 5"w x 2 1/2"h; Rec. Wt. Use: 3 lbs.	EOL:EOL
Employee	39	P	20%	39	39	1335822	Promotional Products	Specials	Firefighter Basket 	1335822.jpg	This special basket has been created in honor of all firefighters, our everyday heroes that serve with courage, integrity and pride. $1 from each basket sold will go to the Fallen Firefighter Foundation to benefit their families. This beautiful basket is available Bold Red with Whitewashed and Pewter Accents. Protector available separately. Made in America. 7 1/2"l x 5"w x 2 1/2"h; Rec. Wt. Use: 3 lbs.	EOL:EOL
Customer	39		0%	39	39	1335822	Promotional Products	Specials	Firefighter Basket 	1335822.jpg	This special basket has been created in honor of all firefighters, our everyday heroes that serve with courage, integrity and pride. $1 from each basket sold will go to the Fallen Firefighter Foundation to benefit their families. This beautiful basket is available Bold Red with Whitewashed and Pewter Accents. Protector available separately. Made in America. 7 1/2"l x 5"w x 2 1/2"h; Rec. Wt. Use: 3 lbs.	EOL:EOL
Consultant	39	P	20%	39	39	1335869	Promotional Products	Specials	EMS Basket	1335869.jpg	This special basket has been created in honor of all firefighters, our everyday heroes that serve on healthcare's front line with honor integrity and respect. $1 from each basket sold will go to the EMS Memorial Foundation. This beautiful basket is available Royal Blue with Whitewashed and Pewter Accents. Protector available separately. Made in America. 7 1/2"l x 5"w x 2 1/2"h; Rec. Wt. Use: 3 lbs.	EOL:EOL
Employee	39	P	20%	39	39	1335869	Promotional Products	Specials	EMS Basket	1335869.jpg	This special basket has been created in honor of all firefighters, our everyday heroes that serve on healthcare's front line with honor integrity and respect. $1 from each basket sold will go to the EMS Memorial Foundation. This beautiful basket is available Royal Blue with Whitewashed and Pewter Accents. Protector available separately. Made in America. 7 1/2"l x 5"w x 2 1/2"h; Rec. Wt. Use: 3 lbs.	EOL:EOL
Customer	39		0%	39	39	1335869	Promotional Products	Specials	EMS Basket	1335869.jpg	This special basket has been created in honor of all firefighters, our everyday heroes that serve on healthcare's front line with honor integrity and respect. $1 from each basket sold will go to the EMS Memorial Foundation. This beautiful basket is available Royal Blue with Whitewashed and Pewter Accents. Protector available separately. Made in America. 7 1/2"l x 5"w x 2 1/2"h; Rec. Wt. Use: 3 lbs.	EOL:EOL
Consultant	10	P	20%	10	10	6360922	Promotional Products	Specials	WoodCrafts Firefighter Tie-On with Sharpie	6360922.jpg	Designed in the shape of the Firefighter emblem, this WoodCrafts Tie-On comes with a Sharpie signing pen. We encourage you to write a note on the Tie-On or bottom of the Basket to tell your firefighter how much you appreciate their courage, integrity and pride. Perfect to write their station number on the front and sentiment on the back to show your respect and appreciation. $.50 from each Tie-On sold will go to the Fallen Firefighter Foundation to benefit the families. Made in the U.S.A. 2 1/2"l x 2 1/2"w	EOL:EOL
Employee	10	P	20%	10	10	6360922	Promotional Products	Specials	WoodCrafts Firefighter Tie-On with Sharpie	6360922.jpg	Designed in the shape of the Firefighter emblem, this WoodCrafts Tie-On comes with a Sharpie signing pen. We encourage you to write a note on the Tie-On or bottom of the Basket to tell your firefighter how much you appreciate their courage, integrity and pride. Perfect to write their station number on the front and sentiment on the back to show your respect and appreciation. $.50 from each Tie-On sold will go to the Fallen Firefighter Foundation to benefit the families. Made in the U.S.A. 2 1/2"l x 2 1/2"w	EOL:EOL
Customer	10		0%	10	10	6360922	Promotional Products	Specials	WoodCrafts Firefighter Tie-On with Sharpie	6360922.jpg	Designed in the shape of the Firefighter emblem, this WoodCrafts Tie-On comes with a Sharpie signing pen. We encourage you to write a note on the Tie-On or bottom of the Basket to tell your firefighter how much you appreciate their courage, integrity and pride. Perfect to write their station number on the front and sentiment on the back to show your respect and appreciation. $.50 from each Tie-On sold will go to the Fallen Firefighter Foundation to benefit the families. Made in the U.S.A. 2 1/2"l x 2 1/2"w	EOL:EOL
Consultant	10	P	20%	10	10	6360969	Promotional Products	Specials	WoodCrafts EMS Tie-On with Sharpie	6360969.jpg	Designed in the shape of the EMS emblem, the Star of Life, this WoodCrafts Tie-On comes with a Sharpie signing pen. We encourage you to write a note on the Tie-On or bottom of the Basket to tell your EMS professional how much you appreciate their service on healthcare's front line. Perfect to write your sentiment on the back to show your respect and appreciation. $.50 from each Tie-On sold will go to the Fallen EMS Memorial Foundation. Made in the U.S.A. 2 1/2"l x 2 1/2"w	EOL:EOL
Employee	10	P	20%	10	10	6360969	Promotional Products	Specials	WoodCrafts EMS Tie-On with Sharpie	6360969.jpg	Designed in the shape of the EMS emblem, the Star of Life, this WoodCrafts Tie-On comes with a Sharpie signing pen. We encourage you to write a note on the Tie-On or bottom of the Basket to tell your EMS professional how much you appreciate their service on healthcare's front line. Perfect to write your sentiment on the back to show your respect and appreciation. $.50 from each Tie-On sold will go to the Fallen EMS Memorial Foundation. Made in the U.S.A. 2 1/2"l x 2 1/2"w	EOL:EOL
Customer	10		0%	10	10	6360969	Promotional Products	Specials	WoodCrafts EMS Tie-On with Sharpie	6360969.jpg	Designed in the shape of the EMS emblem, the Star of Life, this WoodCrafts Tie-On comes with a Sharpie signing pen. We encourage you to write a note on the Tie-On or bottom of the Basket to tell your EMS professional how much you appreciate their service on healthcare's front line. Perfect to write your sentiment on the back to show your respect and appreciation. $.50 from each Tie-On sold will go to the Fallen EMS Memorial Foundation. Made in the U.S.A. 2 1/2"l x 2 1/2"w	EOL:EOL
Consultant	69	P	25%	69	69	1328166	Core Products	Specials	Large Free Form Decorative Tray	1328166.jpg	Special Fall & Winter WishList Preview! Forget about storing or serving. The unpredictable pattern of these artistic pieces make them unique style show-offs. Shipping surcharge of $10 applies. 33"l x 21 1/2"w x 2"h	EOL:EOL
